ANNIE HALL	 (Sound and Woody Allen monologue begin)	ALVY	 There's an old joke.  Uh, two elderly women are at a Catskills mountain resort, and one of 'em says: "Boy, the food at this place is really terrible." The other one says, "Yeah, I know, and such ... small portions." Well, that's essentially how I feel about life.  Full of loneliness and misery and suffering and unhappiness, and it's all over much too quickly.  The-the other important joke for me is one that's, uh, usually attributed to Groucho Marx, but I think it appears originally in Freud's wit and its relation to the unconscious.  And it goes like this-I'm paraphrasing: Uh ... "I would never wanna belong to any club that would have someone like me for a member." That's the key joke of my adult life in terms of my relationships with women.  Tsch, you know, lately the strangest things have been going through my mind, 'cause I turned forty, tsch, and I guess I'm going through a life crisis or something, I don't know. I, uh ... and I'm not worried about aging. I'm not one o' those characters, you know. Although I'm balding slightly on top, that's about the worst you can say about me.  I, uh, I think I'm gonna get better as I get older, you know?  I think I'm gonna be the- the balding virile type, you know, as opposed to say the, uh, distinguished gray, for instance, you know?  'Less I'm neither o' those two. Unless I'm one o' those guys with saliva dribbling out of his mouth who wanders into a cafeteria with a shopping bag screaming about socialism. (Sighing) Annie and I broke up and I-I still can't get my mind around that.  You know, I-I keep sifting the pieces of the relationship through my mind and-and examining my life and tryin' to figure out where did the screw-up come, you know, and a year ago we were... tsch, in love.  You know, and-and-and ... And it's funny, I'm not-I'm not a morose type.  I'm not a depressive character. I-I-I, uh, (Laughing) you know, I was a reasonably happy kid, I guess.  I was brought up in Brooklyn during World War II.					Annie Hall 
ALVY	 Whatta-whatta yuh joining a minstrel show? Geez. (Alvy turns and starts swapping the racquet over the shelf, knocking down articles and breaking glass) Don't worry! (He continues to swat the racquet all over the bathroom.  He finally moves out of the room, hands close to his body.  He walks into the other room, where Annie is sitting in a corner of her bed leaning against the wall) I did it!  I killed them both.  What-what's the matter?  Whatta you- (Annie is sobbing, her band over her face) -whatta you sad about?  You- What'd you want me to do?  Capture 'em and rehabilitate 'em?	ANNIE	 (Sobbing and taking Alvy's arm) Oh, don't go, okay?  Please.	ALVY	 (Sitting down next to her) Whatta you mean, don't go?  Whatta-whatta -what's the matter?  Whatta you expecting -termites?  What's the matter?	ANNIE	 (Sobbing) Oh, uh, I don't know.  I miss you.  Tsch.	Annie Hall 
ANNIE	 (Sobbing and taking Alvy's arm) Oh, don't go, okay?  Please.	ALVY	 (Sitting down next to her) Whatta you mean, don't go?  Whatta-whatta -what's the matter?  Whatta you expecting -termites?  What's the matter?	ANNIE	 (Sobbing) Oh, uh, I don't know.  I miss you.  Tsch.	ALVY	 Oh, Jesus, really?	Annie Hall 
ALVY	 (Sitting down next to her) Whatta you mean, don't go?  Whatta-whatta -what's the matter?  Whatta you expecting -termites?  What's the matter?	ANNIE	 (Sobbing) Oh, uh, I don't know.  I miss you.  Tsch.	ALVY	 Oh, Jesus, really?	ANNIE	 (Leaning on his shoulder) Oh, yeah.  Oh. (They kiss) Oh!  Alvy?	Annie Hall 
ALVY	 Oh, Jesus, really?	ANNIE	 (Leaning on his shoulder) Oh, yeah.  Oh. (They kiss) Oh!  Alvy?	ALVY	 What?	ANNIE	 Was there somebody in your room when I called you?	Annie Hall 
ALVY	 It's all right for me, it's been terrific, you know?  Better than either one of my marriages.  See, 'cause. . . 'cause there's just something different about you.  I don't know what it is, but it's great.	ANNIE	 (Snickering) You know I think that if you let me, maybe I could help you have more fun, you know? I mean, I know it's hard and ... Yeah.	ALVY	 I don't know.	ANNIE	 Alvy, what about ... what if we go away this weekend, and we could-	Annie Hall 
ANNIE	 -me, my God, it's a great day!	ALVY	 (Interrupting) Hey, can yuh watch the road?  Watch the --	ROB	 (Overlapping) Yeah, watch the road!	ALVY	 You'll total the whole car.	Annie Hall 
ALVY	 (Interrupting) Hey, can yuh watch the road?  Watch the --	ROB	 (Overlapping) Yeah, watch the road!	ALVY	 You'll total the whole car.	ANNIE	 (Laughing) Hey, you know, I never even visited Brooklyn before.	Annie Hall 
ALVY	 You'll total the whole car.	ANNIE	 (Laughing) Hey, you know, I never even visited Brooklyn before.	ROB	 I can't wait to see the old neighborhood.	ALVY	 Yeah, the neighborhood's gonna be great.	Annie Hall 
ALVY	 Right.  I was a great athlete.  Tell her, Max, I was the best, I was all schoolyard.	ROB	 Yes, I remember. (Annie laughs) He was all schoolyard.  They threw him a football once, he tried to dribble it.	ALVY	 Yeah, well, I used to lose my glasses a lot.			Annie Hall 
ALVY	 Oh, look, look, there's that ... that's -that's my old house.  That's where I used to live.	ANNIE	 (Laughing) Holy cow!	ROB	 You're lucky, Max-where I used to live is now a pornographic equipment store.	ALVY	 I have some very good memories there.	Annie Hall 
ALVY'S FATHER	 She's a colored woman, from Harlem! She has no money!  She's got a right to steal from us!  After all, who is she gonna steal from if not us?	ADULT ALVY	 (Yelling into the scene) You're both crazy!	ROB	 They can't hear you, Max.	ALVY'S MOTHER	 Leo ... I married a fool!	Annie Hall 
ALVY'S MOTHER	 Leo ... I married a fool!	ROB	 (Pointing) Hey, Max!  Who's that?	ALVY	 It-it-it's the welcome-home party in nineteen forty-five, for my cousin Herbie.	ADULT ALVY	 (Pointing) Look, look, there's-there's that one over there, that's Joey Nichols, he was my- (Young Alvy stands next to Joey Nichols, who's sitting in one of the easy chairs.  They smile at each other; people and noise all around) -father's friend.  He was always bothering me when I was a kid.	Annie Hall 
ALVY	 It-it-it's the welcome-home party in nineteen forty-five, for my cousin Herbie.	ADULT ALVY	 (Pointing) Look, look, there's-there's that one over there, that's Joey Nichols, he was my- (Young Alvy stands next to Joey Nichols, who's sitting in one of the easy chairs.  They smile at each other; people and noise all around) -father's friend.  He was always bothering me when I was a kid.	JOEY	 Joey Nichols. (Laughing) See.  Nichols.  See, Nichols! (Joey shows young Alvy his cuff links and a tie pin, which are made from nickels, as Alvy stands with hands on hips, unconcerned. Joey then slaps his band to his forehead and puts a nickel on his forehead) Yuh see, nickels!  You can always remember my name, just think of Joey Five Cents. (Laughing) That's me.  Joey Five Cents!	YOUNG ALVY	 (Turning away) What an asshole!	Annie Hall 
ADULT ALVY	 (Pointing) Look, look, there's-there's that one over there, that's Joey Nichols, he was my- (Young Alvy stands next to Joey Nichols, who's sitting in one of the easy chairs.  They smile at each other; people and noise all around) -father's friend.  He was always bothering me when I was a kid.	JOEY	 Joey Nichols. (Laughing) See.  Nichols.  See, Nichols! (Joey shows young Alvy his cuff links and a tie pin, which are made from nickels, as Alvy stands with hands on hips, unconcerned. Joey then slaps his band to his forehead and puts a nickel on his forehead) Yuh see, nickels!  You can always remember my name, just think of Joey Five Cents. (Laughing) That's me.  Joey Five Cents!	YOUNG ALVY	 (Turning away) What an asshole!	ALVY'S MOTHER	 I was always the sister with good common sense.  But Tessie was always the one with personality.  When she was younger, they all wanted to marry Tessie.	Annie Hall 
JOEY	 Joey Nichols. (Laughing) See.  Nichols.  See, Nichols! (Joey shows young Alvy his cuff links and a tie pin, which are made from nickels, as Alvy stands with hands on hips, unconcerned. Joey then slaps his band to his forehead and puts a nickel on his forehead) Yuh see, nickels!  You can always remember my name, just think of Joey Five Cents. (Laughing) That's me.  Joey Five Cents!	YOUNG ALVY	 (Turning away) What an asshole!	ALVY'S MOTHER	 I was always the sister with good common sense.  But Tessie was always the one with personality.  When she was younger, they all wanted to marry Tessie.	ADULT ALVY	 (Pointing, to Rob) Do you believe that, Max?  Tessie Moskowitz had the personality.  She's the life of the ghetto, no doubt.	Annie Hall 
ALVY'S MOTHER	 I was always the sister with good common sense.  But Tessie was always the one with personality.  When she was younger, they all wanted to marry Tessie.	ADULT ALVY	 (Pointing, to Rob) Do you believe that, Max?  Tessie Moskowitz had the personality.  She's the life of the ghetto, no doubt.	ALVY'S MOTHER	 (To the young girl) She was once a great beauty.	ROB	 Tessie, they say you were the sister with personality.	Annie Hall 
ADULT ALVY	 (Pointing, to Rob) Do you believe that, Max?  Tessie Moskowitz had the personality.  She's the life of the ghetto, no doubt.	ALVY'S MOTHER	 (To the young girl) She was once a great beauty.	ROB	 Tessie, they say you were the sister with personality.	TESSIE	 (Addressing the young girl) I was a great beauty.	Annie Hall 
ROB	 Tessie, they say you were the sister with personality.	TESSIE	 (Addressing the young girl) I was a great beauty.	ROB	 Uh, how did this personality come about?	TESSIE	 (Grabbing the young girl's cheek) I was very charming.	Annie Hall 
ROB	 Uh, how did this personality come about?	TESSIE	 (Grabbing the young girl's cheek) I was very charming.	ROB	 There were many men interested in you?	TESSIE	 (To the young girl) Oh, I was quite a lively dancer.	Annie Hall 
ROB	 There were many men interested in you?	TESSIE	 (To the young girl) Oh, I was quite a lively dancer.	ROB	 (Laughing) That's pretty hard to believe.			Annie Hall 
TESSIE	 (To the young girl) Oh, I was quite a lively dancer.	ROB	 (Laughing) That's pretty hard to believe.					Annie Hall 
ALVY	 Yeah, but no presents till midnight.	ANNIE	 (Laughing) Oh, darn it.					Annie Hall 
ANNIE	 (Making sounds) This is- (Making sounds) Huh?	ALVY	 Happy birthday.	ANNIE	 What is this? Is this a...Present? (Laughing) Are you kidding?			Annie Hall 
ALVY	 Happy birthday.	ANNIE	 What is this? Is this a...Present? (Laughing) Are you kidding?	ALVY	 Yeah, hey, why don't yuh try it on?	ANNIE	 Uh, yeah, uh ... t-t-this is more like a present for you, yeah, but it's-	Annie Hall 
ALVY	 Try it ... it'll add years to our sex life.	ANNIE	 (Looking up at Alvy and laughing) Uh huh.  Yeah.  Forget it.	ALVY	 Here's a real present.	ANNIE	 (Opening the gift) What... huh?	Annie Hall 
ALVY	 Here's a real present.	ANNIE	 (Opening the gift) What... huh?	ALVY	 Check it out.	ANNIE	 Oh, yeah?  What is this, anyway? (continuing) Let me see.  Okay, let's... oooh, God! (She takes out a watch from the box) Oh, you knew I wanted this ... (Laughing) God, it's terrific, God!	Annie Hall 
ALVY	 Check it out.	ANNIE	 Oh, yeah?  What is this, anyway? (continuing) Let me see.  Okay, let's... oooh, God! (She takes out a watch from the box) Oh, you knew I wanted this ... (Laughing) God, it's terrific, God!	ALVY	 (Making sounds) Yeah, I know.  Just-just put on the watch, and-and ... that thing, and we'll just ...	ANNIE	 (Laughing) Oh!  My God! (Making sounds)	Annie Hall 
ANNIE	 Oh, yeah?  What is this, anyway? (continuing) Let me see.  Okay, let's... oooh, God! (She takes out a watch from the box) Oh, you knew I wanted this ... (Laughing) God, it's terrific, God!	ALVY	 (Making sounds) Yeah, I know.  Just-just put on the watch, and-and ... that thing, and we'll just ...	ANNIE	 (Laughing) Oh!  My God! (Making sounds)			Annie Hall 
ALVY	 (Making sounds) Yeah, I know.  Just-just put on the watch, and-and ... that thing, and we'll just ...	ANNIE	 (Laughing) Oh!  My God! (Making sounds)					Annie Hall 
ANNIE	 (Laughing) Thank you.	ALVY	 (Reacting) You were-you were sensational.  I mean, I-you know, I-I told yuh that if yuh stuck to it, you would be great, and-and, you know, I-I-you-you were sensational.	ANNIE	 (Looking at Alvy, smiling) Yeah, well, we have the, I mean, they were just a terrific audience, I mean, you know, it makes it really easy for me, because I can be ... huh?	ANNIE	 Oh.	Annie Hall 
ALVY	 (Reacting) You were-you were sensational.  I mean, I-you know, I-I told yuh that if yuh stuck to it, you would be great, and-and, you know, I-I-you-you were sensational.	ANNIE	 (Looking at Alvy, smiling) Yeah, well, we have the, I mean, they were just a terrific audience, I mean, you know, it makes it really easy for me, because I can be ... huh?	ANNIE	 Oh.	TONY	 Hi, I'm-I'm Tony Lacey.	Annie Hall 
TONY	 Uh, we just wanted to stop by and say that we really enjoyed your sets.	ANNIE	 (Laughing) Oh, yeah, really, oh!	TONY	 I though it was ... very musical, and I liked it a lot.	ANNIE	 Oh, neat ... oh, that's very nice, gosh, thanks a lot.	Annie Hall 
TONY	 Are you ... are you recording?  Or do- Are you with any label now?	ANNIE	 (Laughing) No, no, no, not at all.	TONY	 Uh, well, I'd like to talk to you about that sometime, if you get a chance.	ANNIE	 Oh.  What about?	Annie Hall 
TONY	 ... of possibly working together.	ANNIE	 (Looking for the first time at Alvy) Well, hey, that's, that's nice.  Uh. Oh, listen, this is, uh, Alvy Singer. Do you know Alvy?  Uh ... and ... uh ... Tony Lacey.	TONY	 No, I don't-I don't know, but I-I know your work.  I'm a big fan of yours.	ALVY	 Thank you very much.  It's a pleasure.	Annie Hall 
ALVY	 Thank you very much.  It's a pleasure.	TONY	 (Turning to introduce his entourage) This is, uh, Shawn, and, uh ... Bob and Petronia.	ANNIE	 Hi.	ENTOURAGE	 Hi.	Annie Hall 
ENTOURAGE	 Hi.	ANNIE	 (Laughing) Hi, hi, Bob ...	TONY	 Uh ... w-we're going back to the Pierre. We're staying at the Pierre ... and we're gonna meet Jack and Angelica, and have a drink there, and ... if you'd like to come, uh, we'd love to have you.	ANNIE	 Yeah.	Annie Hall 
TONY	 And we could just sit and talk ... nothing. Uh, not a big deal, it's just relax, just be very mellow.	ALVY	 (Fingers to his mouth, reacting) Remember, we had that thing.	ANNIE	 What thing?	ALVY	 (Staring at Annie and clearing his throat) Don't you remember we-we-we discussed that thing that we were-	Annie Hall 
ANNIE	 What thing?	ALVY	 (Staring at Annie and clearing his throat) Don't you remember we-we-we discussed that thing that we were-	ANNIE	 (Overlapping) Thing?	ALVY	 (Overlapping) -yes, we had, uh ...	Annie Hall 
ALVY	 (Staring at Annie and clearing his throat) Don't you remember we-we-we discussed that thing that we were-	ANNIE	 (Overlapping) Thing?	ALVY	 (Overlapping) -yes, we had, uh ...	ANNIE	 (Looking at Alvy, reacting) Oh, the thing!  Oh, the thing ... (Laughing) ... yeah ... yeah.	Annie Hall 
ANNIE	 (Overlapping) Thing?	ALVY	 (Overlapping) -yes, we had, uh ...	ANNIE	 (Looking at Alvy, reacting) Oh, the thing!  Oh, the thing ... (Laughing) ... yeah ... yeah.	TONY	 Oh, well, I-if it's inconvenient, eh, we can't do it now ... that's fine, too.  W-w-w-we'll do it another time.	Annie Hall 
ALVY	 (Overlapping) -yes, we had, uh ...	ANNIE	 (Looking at Alvy, reacting) Oh, the thing!  Oh, the thing ... (Laughing) ... yeah ... yeah.	TONY	 Oh, well, I-if it's inconvenient, eh, we can't do it now ... that's fine, too.  W-w-w-we'll do it another time.	ANNIE	 Hey-	Annie Hall 
TONY	 Maybe if you're on the Coast, we'll get together and ... and we'll meet there.	ANNIE	 (Reacting) Oh.	TONY	 It was a wonderful set.	ANNIE	 Oh, gosh.	Annie Hall 
ANNIE	 Oh, gosh.	TONY	 (Smiling) I really enjoyed it. (Looking at Alvy) Nice to have metcha.  Good night.	ENTOURAGE	 Bye-bye.	ANNIE	 Nice to see you ... bye.  Yeah.  Bye.	Annie Hall 
ANNIE	 Nice to see you ... bye.  Yeah.  Bye.	ALVY	 (Reacting) What's ... you ... well, what's the matter, You w-wanna go to that party?	ANNIE	 (Looking down at her hands, then up at Alvy) I don't know, I thought it might be kind of fun, you know what I mean, it'd be nice to meet some new people.	ALVY	 (Sighing) I'm just not ... you know, I don't think I could take a mellow eve- 'cause I-I don't respond well to mellow, you know what I mean, I-I have a tendency to ... if I get too mellow, I-I ripen and then rot.  You know, and it's-it's not good for my ... (Making sounds)	Annie Hall 
ALVY	 (Reacting) What's ... you ... well, what's the matter, You w-wanna go to that party?	ANNIE	 (Looking down at her hands, then up at Alvy) I don't know, I thought it might be kind of fun, you know what I mean, it'd be nice to meet some new people.	ALVY	 (Sighing) I'm just not ... you know, I don't think I could take a mellow eve- 'cause I-I don't respond well to mellow, you know what I mean, I-I have a tendency to ... if I get too mellow, I-I ripen and then rot.  You know, and it's-it's not good for my ... (Making sounds)	ANNIE	 All right, all right, you don't wanna go to the party, so uh, whatta you wanna do?	Annie Hall 
ANNIE	 (Looking down at her hands, then up at Alvy) I don't know, I thought it might be kind of fun, you know what I mean, it'd be nice to meet some new people.	ALVY	 (Sighing) I'm just not ... you know, I don't think I could take a mellow eve- 'cause I-I don't respond well to mellow, you know what I mean, I-I have a tendency to ... if I get too mellow, I-I ripen and then rot.  You know, and it's-it's not good for my ... (Making sounds)	ANNIE	 All right, all right, you don't wanna go to the party, so uh, whatta you wanna do?			Annie Hall 
